Month,Category,Budget
2025-09,Food,3000
2025-09,Transport,1000
2025-09,Rent,9000
2025-09,Shopping,3000
2025-09,Electricity Bill,600
2025-09,Recharge,400
2025-09,Others,1000
2025-10,Food,5000
2025-10,Transport,1000
2025-10,Rent,9000
2025-10,Utilities,500
2025-10,Trips,1000
2025-10,Shopping,5000
2025-10,Electricity Bill,600
2025-10,Recharge,400
2025-10,Entertainment,300
2025-11,Food,4000
2025-11,Transport,2000
2025-11,Rent,9000
2025-11,Trips,1000
2025-11,Shopping,1000
2025-11,Electricity Bill,500
2025-11,Recharge,300
2025-12,Food,4000
2025-12,Transport,1000
2025-12,Rent,9000
2025-12,Recharge,400
2025-12,Trips,500
2025-12,Utilities,500
2025-12,Electricity Bill,500
2025-12,Shopping,500
2025-12,Train Tickets,1100
